,geneid,gene_symbol,uniprotid,gene_dsi,gene_dpi,gene_pli,protein_class,protein_class_name,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei
0,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0019209,Hepatomegaly,C23;C06,"   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases",phenotype,Finding,0.3,1.0
1,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0036341,Schizophrenia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.3,1.0
2,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0017636,Glioblastoma,C04,   Neoplasms,disease,Neoplastic Process,0.03,0.667
3,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C1621958,Glioblastoma Multiforme,C04,   Neoplasms,disease,Neoplastic Process,0.03,0.667
4,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0278878,Adult Glioblastoma,C04,   Neoplasms,disease,Neoplastic Process,0.02,1.0
5,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0280474,Childhood Glioblastoma,C04,   Neoplasms,disease,Neoplastic Process,0.02,1.0
6,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0001418,Adenocarcinoma,C04,   Neoplasms,group,Neoplastic Process,0.01,1.0
7,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0002736,Amyotrophic Lateral Sclerosis,C18;C10,   Nutritional and Metabolic Diseases;    Nervous System Diseases,disease,Disease or Syndrome,0.01,1.0
8,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0003578,Apnea,C23;C08,"   Pathological Conditions, Signs and Symptoms;    Respiratory Tract Diseases",phenotype,Sign or Symptom,0.01,1.0
9,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0003864,Arthritis,C05,   Musculoskeletal Diseases,disease,Disease or Syndrome,0.01,1.0
10,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0008373,Cholesteatoma,C17,   Skin and Connective Tissue Diseases,disease,Disease or Syndrome,0.01,1.0
11,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0011849,Diabetes Mellitus,C18;C19,   Nutritional and Metabolic Diseases;    Endocrine System Diseases,group,Disease or Syndrome,0.01,1.0
12,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0013080,Down Syndrome,C16;C10,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nervous System Diseases",disease,Disease or Syndrome,0.01,1.0
13,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0014544,Epilepsy,C10,   Nervous System Diseases,disease,Disease or Syndrome,0.01,1.0
14,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0015230,Exanthema,C17,   Skin and Connective Tissue Diseases,phenotype,Sign or Symptom,0.01,1.0
